Treatment,Replicate,Extinction,FinalGenomeSize
repeat,11631,0,20
repeat,11632,1,63
repeat,11633,0,21
repeat,11634,1,97
repeat,11635,0,24
repeat,11636,0,22
repeat,11637,1,125
repeat,11638,1,75
repeat,11639,1,120
repeat,11640,1,112
repeat,11641,0,36
repeat,11642,1,101
repeat,11643,0,47
repeat,11644,0,60
repeat,11645,0,24
repeat,11646,0,23
repeat,11647,1,57
repeat,11648,1,284
repeat,11649,1,208
repeat,11650,0,30
repeat,11651,1,155
repeat,11652,0,52
repeat,11653,0,37
repeat,11654,0,79
repeat,11655,0,21
repeat,11656,1,94
repeat,11657,1,100
repeat,11658,0,19
repeat,11659,0,30
repeat,11660,0,25
repeat,11661,0,25
repeat,11662,0,48
repeat,11663,0,61
repeat,11664,0,37
repeat,11665,1,123
repeat,11666,0,78
repeat,11667,1,277
repeat,11668,0,31
repeat,11669,1,42
repeat,11670,1,46
repeat,11671,1,166
repeat,11672,0,18
repeat,11673,1,190
repeat,11674,0,41
repeat,11675,1,157
repeat,11676,0,29
repeat,11677,0,27
repeat,11678,1,146
repeat,11679,0,137
repeat,11680,0,47
repeat,11681,1,104
repeat,11682,1,260
repeat,11683,0,21
repeat,11684,0,20
repeat,11685,1,89
repeat,11686,1,191
repeat,11687,1,137
repeat,11688,1,106
repeat,11689,1,151
repeat,11690,1,416
repeat,11691,1,122
repeat,11692,1,175
repeat,11693,0,17
repeat,11694,1,115
repeat,11695,0,165
repeat,11696,0,28
repeat,11697,1,240
repeat,11698,1,52
repeat,11699,0,62
repeat,11700,0,30
repeat,11701,1,85
repeat,11702,0,81
repeat,11703,0,58
repeat,11704,0,18
repeat,11705,1,306
repeat,11706,1,232
repeat,11707,0,32
repeat,11708,0,32
repeat,11709,0,28
repeat,11710,1,104
repeat,11711,1,452
repeat,11712,1,130
repeat,11713,1,24
repeat,11714,0,20
repeat,11715,0,21
repeat,11716,0,46
repeat,11717,1,76
repeat,11718,1,29
repeat,11719,1,60
repeat,11720,1,148
repeat,11721,1,137
repeat,11722,1,254
repeat,11723,0,18
repeat,11724,0,28
repeat,11725,1,211
repeat,11726,1,72
repeat,11727,1,88
