GenotypeNum,GenomeSize,PointMutationRate,GenomicMutationRate,LethalMutationRate,NumExtinctions
7,16,0.01,0.16,0.13,0
7,16,0.02,0.32,0.26,0
7,16,0.04,0.64,0.52,17
7,16,0.08,1.28,1.04,92
7,16,0.1,1.6,1.3,99
9,50,0.01,0.5,0.3056,0
9,50,0.02,1.0,0.6112,0
9,50,0.04,2.0,1.2224,13
9,50,0.08,4.0,2.4448,80
9,50,0.1,5.0,3.056,90
5,176,0.0025,0.44,0.08959984,0
5,176,0.005,0.88,0.17919968,3
5,176,0.01,1.76,0.35839936,12
5,176,0.02,3.52,0.71679872,69
5,176,0.04,7.04,1.43359744,99
14,208,0.0025,0.52,0.08610004,0
14,208,0.005,1.04,0.17220008,0
14,208,0.01,2.08,0.34440016,16
14,208,0.02,4.16,0.68880032,76
14,208,0.04,8.32,1.37760064,90
10,32,0.01,0.32,0.1988,1
10,32,0.02,0.64,0.3976,20
10,32,0.04,1.28,0.7952,83
10,32,0.08,2.56,1.5904,100
10,32,0.1,3.2,1.988,99
